country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Recovery_rate,Death_rate,Deaths per Million,Cases per 100K,Deaths_per_Million,Cases_per_100K,Tests_per_Person,Infection Rate,Tests per 100K
Marshall-Islands,Oceania,60057.0,2024-06-30,2024-06-30T16:15:15+00:00,16138,16121.0,17.0,0.0,99.89465856983517,0.10534143016482836,283.06442213230764,26871.139084536357,283.06442213230764,26871.139084536357,0.0,26.871139084536356,0.0
Dominica,North-America,72344.0,2024-06-30,2024-06-30T16:15:15+00:00,16038,15964.0,74.0,229344.0,99.53859583489213,0.46140416510786886,1022.8906336392791,22169.08105717129,1022.8906336392791,22169.08105717129,3.170186884883335,22.16908105717129,317018.68848833354
CAR,Africa,5016678.0,2024-06-30,2024-06-30T16:15:15+00:00,15440,15200.0,113.0,81294.0,98.44559585492227,0.7318652849740932,22.524866056781,307.77339107672447,22.524866056781,307.77339107672447,0.016204747444424378,0.30777339107672447,1620.4747444424377
Saint-Martin,North-America,39730.0,2024-06-30,2024-06-30T16:15:15+00:00,12324,0.0,63.0,112382.0,0.0,0.5111976630963972,1585.7034986156557,31019.380820538634,1585.7034986156557,31019.380820538634,2.8286433425622954,31.019380820538633,282864.3342562295
Yemen,Asia,31154867.0,2024-06-30,2024-06-30T16:15:15+00:00,11945,9124.0,2159.0,329592.0,76.38342402678944,18.07450816241105,69.29896378630022,38.34071896374971,69.29896378630022,38.34071896374971,0.010579149639765755,0.03834071896374971,1057.9149639765756
St-Vincent-Grenadines,North-America,111551.0,2024-06-30,2024-06-30T16:15:15+00:00,9674,9493.0,124.0,114197.0,98.1290055819723,1.281786231135001,1111.599178850929,8672.26649693862,1111.599178850929,8672.26649693862,1.0237200921551577,8.67226649693862,102372.00921551578
Antigua-and-Barbuda,North-America,99509.0,2024-06-30,2024-06-30T16:15:15+00:00,9106,8954.0,146.0,18901.0,98.33077092027234,1.6033384581594552,1467.2039715000653,9150.931071561366,1467.2039715000653,9150.931071561366,0.18994261825563516,9.150931071561367,18994.261825563517
Sierra-Leone,Africa,8306436.0,2024-06-30,2024-06-30T16:15:15+00:00,7779,0.0,126.0,259958.0,0.0,1.619745468569225,15.168960550589928,93.65027311352306,15.168960550589928,93.65027311352306,0.03129597338738299,0.09365027311352306,3129.597338738299
British-Virgin-Islands,North-America,30596.0,2024-06-30,2024-06-30T16:15:15+00:00,7392,0.0,64.0,107339.0,0.0,0.8658008658008658,2091.776702836972,24160.02091776703,2091.776702836972,24160.02091776703,3.5082690547784026,24.160020917767028,350826.9054778403
Cook-Islands,Oceania,17571.0,2024-06-30,2024-06-30T16:15:15+00:00,7203,7150.0,2.0,19690.0,99.264195474108,0.027766208524226017,113.82391440441637,40993.68277275056,113.82391440441637,40993.68277275056,1.1205964373114792,40.99368277275055,112059.64373114792
Sao-Tome-and-Principe,Africa,227679.0,2024-06-30,2024-06-30T16:15:15+00:00,6778,6685.0,80.0,29600.0,98.62791383889052,1.1802891708468575,351.37188761370174,2976.998317807088,351.37188761370174,2976.998317807088,0.13000759841706966,2.9769983178070882,13000.759841706966
Turks-and-Caicos,North-America,39741.0,2024-06-30,2024-06-30T16:15:15+00:00,6752,6709.0,40.0,616788.0,99.36315165876776,0.5924170616113744,1006.5171988626355,16990.010316801287,1006.5171988626355,16990.010316801287,15.520193251302182,16.99001031680129,1552019.3251302182
Palau,Oceania,18233.0,2024-06-30,2024-06-30T16:15:15+00:00,6290,6276.0,10.0,71434.0,99.77742448330683,0.1589825119236884,548.456096089508,34497.88844403005,548.456096089508,34497.88844403005,3.9178412768057918,34.49788844403005,391784.1276805792
Anguilla,North-America,15230.0,2024-06-30,2024-06-30T16:15:15+00:00,3904,0.0,12.0,51382.0,0.0,0.3073770491803279,787.9185817465528,25633.61785948785,787.9185817465528,25633.61785948785,3.373736047275115,25.63361785948785,337373.6047275115
Cura&ccedil;ao,North-America,165529.0,2024-06-30,2024-06-30T16:15:14+00:00,45986,44720.0,295.0,496693.0,97.2469882138042,0.6414995868307746,1782.1650586906223,27781.23470811761,1782.1650586906223,27781.23470811761,3.000640371173631,27.78123470811761,300064.0371173631
Isle-of-Man,Europe,85732.0,2024-06-30,2024-06-30T16:15:14+00:00,38008,0.0,116.0,150753.0,0.0,0.3051989054935803,1353.0537022348715,44333.50440908879,1353.0537022348715,44333.50440908879,1.7584215928708067,44.33350440908879,175842.15928708066
Cayman-Islands,North-America,67277.0,2024-06-30,2024-06-30T16:15:14+00:00,31472,8553.0,37.0,222773.0,27.17653787493645,0.1175648195221149,549.9650697861082,46779.73155759026,549.9650697861082,46779.73155759026,3.311280229498937,46.77973155759026,331128.0229498937
Congo,Africa,5797805.0,2024-06-30,2024-06-30T16:15:14+00:00,25375,24006.0,386.0,347815.0,94.60492610837439,1.5211822660098522,66.5769200585394,437.66563380451737,66.5769200585394,437.66563380451737,0.05999080686570176,0.4376656338045174,5999.080686570176
Somalia,Africa,16841795.0,2024-06-30,2024-06-30T16:15:14+00:00,27334,13182.0,1361.0,400466.0,48.225653032852854,4.979146850076828,80.81086368762949,162.29861484479534,80.81086368762949,162.29861484479534,0.023778106787310974,0.16229861484479535,2377.810678731097
Mayotte,Africa,286259.0,2024-06-30,2024-06-30T16:15:14+00:00,42027,0.0,188.0,176919.0,0.0,0.44733147738358675,656.7479101093764,14681.459796897214,656.7479101093764,14681.459796897214,0.6180382101523445,14.681459796897215,61803.82101523445
Bahamas,North-America,400516.0,2024-06-30,2024-06-30T16:15:14+00:00,38084,36366.0,844.0,257839.0,95.4889192311732,2.2161537653607817,2107.281606727322,9508.733733483805,2107.281606727322,9508.733733483805,0.6437670405177321,9.508733733483805,64376.70405177322
Aruba,North-America,107609.0,2024-06-30,2024-06-30T16:15:14+00:00,44224,42438.0,292.0,177885.0,95.96146888567294,0.66027496382055,2713.527678911615,41096.93427129701,2713.527678911615,41096.93427129701,1.653068051928742,41.09693427129701,165306.8051928742
